state,sector,date,value,year
Perak,nondomestic,1/1/06,182,2006
Perak,nondomestic,1/1/07,185,2007
Perak,nondomestic,1/1/08,190,2008
Perak,nondomestic,1/1/09,194,2009
Perak,nondomestic,1/1/10,210,2010
Perak,nondomestic,1/1/11,216,2011
Perak,nondomestic,1/1/12,217,2012
Perak,nondomestic,1/1/13,228,2013
Perak,nondomestic,1/1/14,236,2014
Perak,nondomestic,1/1/15,250,2015
Perak,nondomestic,1/1/16,262,2016
Perak,nondomestic,1/1/17,260,2017
Perak,nondomestic,1/1/18,268,2018
Perak,nondomestic,1/1/19,278,2019
Perak,nondomestic,1/1/20,266,2020
Perak,nondomestic,1/1/21,266,2021
Perak,nondomestic,1/1/22,289,2022
Perlis,domestic,1/1/03,47,2003
Perlis,domestic,1/1/04,50,2004
Perlis,domestic,1/1/05,50,2005
Perlis,domestic,1/1/06,51,2006
Perlis,domestic,1/1/07,50,2007
Perlis,domestic,1/1/08,54,2008
Perlis,domestic,1/1/09,49,2009
Perlis,domestic,1/1/10,63,2010
Perlis,domestic,1/1/11,62,2011
Perlis,domestic,1/1/12,57,2012
Perlis,domestic,1/1/13,65,2013
Perlis,domestic,1/1/14,81,2014
Perlis,domestic,1/1/15,81,2015
Perlis,domestic,1/1/16,82,2016
Perlis,domestic,1/1/17,78,2017
Perlis,domestic,1/1/18,80,2018
Perlis,domestic,1/1/19,80,2019
Perlis,domestic,1/1/20,78,2020
Perlis,domestic,1/1/21,80,2021
Perlis,domestic,1/1/22,80,2022
Perlis,nondomestic,1/1/03,7,2003
Perlis,nondomestic,1/1/04,12,2004
Perlis,nondomestic,1/1/05,9,2005
Perlis,nondomestic,1/1/06,10,2006
Perlis,nondomestic,1/1/07,14,2007
Perlis,nondomestic,1/1/08,9,2008
Perlis,nondomestic,1/1/09,11,2009
Perlis,nondomestic,1/1/10,9,2010
Perlis,nondomestic,1/1/11,11,2011
Perlis,nondomestic,1/1/12,10,2012
Perlis,nondomestic,1/1/13,15,2013
Perlis,nondomestic,1/1/14,15,2014
Perlis,nondomestic,1/1/15,15,2015
Perlis,nondomestic,1/1/16,14,2016
Perlis,nondomestic,1/1/17,11,2017
Perlis,nondomestic,1/1/18,10,2018
Perlis,nondomestic,1/1/19,12,2019
Perlis,nondomestic,1/1/20,12,2020
Perlis,nondomestic,1/1/21,11,2021
Perlis,nondomestic,1/1/22,18,2022
Pulau Pinang,domestic,1/1/03,377,2003
Pulau Pinang,domestic,1/1/04,388,2004
Pulau Pinang,domestic,1/1/05,400,2005
Pulau Pinang,domestic,1/1/06,408,2006
Pulau Pinang,domestic,1/1/07,427,2007
Pulau Pinang,domestic,1/1/08,439,2008
Pulau Pinang,domestic,1/1/09,451,2009
Pulau Pinang,domestic,1/1/10,468,2010
Pulau Pinang,domestic,1/1/11,459,2011
Pulau Pinang,domestic,1/1/12,475,2012
Pulau Pinang,domestic,1/1/13,481,2013
Pulau Pinang,domestic,1/1/14,483,2014
Pulau Pinang,domestic,1/1/15,483,2015
Pulau Pinang,domestic,1/1/16,492,2016
Pulau Pinang,domestic,1/1/17,482,2017
Pulau Pinang,domestic,1/1/18,491,2018
Pulau Pinang,domestic,1/1/19,499,2019
Pulau Pinang,domestic,1/1/20,533,2020
Pulau Pinang,domestic,1/1/21,547,2021
Pulau Pinang,domestic,1/1/22,534,2022
Pulau Pinang,nondomestic,1/1/03,235,2003
Pulau Pinang,nondomestic,1/1/04,250,2004
Pulau Pinang,nondomestic,1/1/05,261,2005
Pulau Pinang,nondomestic,1/1/06,275,2006
Pulau Pinang,nondomestic,1/1/07,293,2007
Pulau Pinang,nondomestic,1/1/08,305,2008
Pulau Pinang,nondomestic,1/1/09,288,2009
Pulau Pinang,nondomestic,1/1/10,315,2010
Pulau Pinang,nondomestic,1/1/11,317,2011
Pulau Pinang,nondomestic,1/1/12,321,2012
Pulau Pinang,nondomestic,1/1/13,327,2013
Pulau Pinang,nondomestic,1/1/14,330,2014
Pulau Pinang,nondomestic,1/1/15,329,2015
Pulau Pinang,nondomestic,1/1/16,335,2016
Pulau Pinang,nondomestic,1/1/17,344,2017
Pulau Pinang,nondomestic,1/1/18,349,2018
Pulau Pinang,nondomestic,1/1/19,343,2019
Pulau Pinang,nondomestic,1/1/20,314,2020
Pulau Pinang,nondomestic,1/1/21,313,2021
Pulau Pinang,nondomestic,1/1/22,334,2022
Sabah,domestic,1/1/03,156,2003
Sabah,domestic,1/1/04,207,2004
Sabah,domestic,1/1/05,254,2005
Sabah,domestic,1/1/06,294,2006
Sabah,domestic,1/1/07,294,2007
Sabah,domestic,1/1/08,252,2008
Sabah,domestic,1/1/09,259,2009
Sabah,domestic,1/1/10,222,2010
Sabah,domestic,1/1/11,279,2011
Sabah,domestic,1/1/12,305,2012
Sabah,domestic,1/1/13,314,2013
Sabah,domestic,1/1/14,330,2014
Sabah,domestic,1/1/15,315,2015
Sabah,domestic,1/1/16,338,2016
Sabah,domestic,1/1/17,323,2017
Sabah,domestic,1/1/18,341,2018
Sabah,domestic,1/1/19,366,2019
Sabah,domestic,1/1/20,313,2020
Sabah,domestic,1/1/21,425,2021
Sabah,domestic,1/1/22,394,2022
Sabah,nondomestic,1/1/03,97,2003
Sabah,nondomestic,1/1/04,106,2004
Sabah,nondomestic,1/1/05,62,2005
Sabah,nondomestic,1/1/06,26,2006
Sabah,nondomestic,1/1/07,44,2007
Sabah,nondomestic,1/1/08,112,2008
Sabah,nondomestic,1/1/09,185,2009
Sabah,nondomestic,1/1/10,175,2010
Sabah,nondomestic,1/1/11,206,2011
Sabah,nondomestic,1/1/12,225,2012
Sabah,nondomestic,1/1/13,216,2013
Sabah,nondomestic,1/1/14,248,2014
Sabah,nondomestic,1/1/15,237,2015
Sabah,nondomestic,1/1/16,249,2016
Sabah,nondomestic,1/1/17,259,2017
Sabah,nondomestic,1/1/18,275,2018
Sabah,nondomestic,1/1/19,278,2019
Sabah,nondomestic,1/1/20,224,2020
Sabah,nondomestic,1/1/21,225,2021
Sabah,nondomestic,1/1/22,238,2022
Sarawak,domestic,1/1/03,289,2003
Sarawak,domestic,1/1/04,336,2004
Sarawak,domestic,1/1/05,327,2005
Sarawak,domestic,1/1/06,352,2006
Sarawak,domestic,1/1/07,400,2007
Sarawak,domestic,1/1/08,409,2008
Sarawak,domestic,1/1/09,441,2009
Sarawak,domestic,1/1/10,449,2010
Sarawak,domestic,1/1/11,431,2011
Sarawak,domestic,1/1/12,432,2012
Sarawak,domestic,1/1/13,446,2013
Sarawak,domestic,1/1/14,469,2014
Sarawak,domestic,1/1/15,478,2015
Sarawak,domestic,1/1/16,463,2016
Sarawak,domestic,1/1/17,476,2017
Sarawak,domestic,1/1/18,487,2018
Sarawak,domestic,1/1/19,499,2019
Sarawak,domestic,1/1/20,548,2020
Sarawak,domestic,1/1/21,579,2021
Sarawak,domestic,1/1/22,602,2022
Sarawak,nondomestic,1/1/03,201,2003
Sarawak,nondomestic,1/1/04,227,2004
Sarawak,nondomestic,1/1/05,220,2005
Sarawak,nondomestic,1/1/06,226,2006
Sarawak,nondomestic,1/1/07,259,2007
Sarawak,nondomestic,1/1/08,266,2008
Sarawak,nondomestic,1/1/09,274,2009
Sarawak,nondomestic,1/1/10,324,2010
Sarawak,nondomestic,1/1/11,321,2011
Sarawak,nondomestic,1/1/12,336,2012
Sarawak,nondomestic,1/1/13,345,2013
Sarawak,nondomestic,1/1/14,341,2014
Sarawak,nondomestic,1/1/15,368,2015
Sarawak,nondomestic,1/1/16,385,2016
Sarawak,nondomestic,1/1/17,395,2017
Sarawak,nondomestic,1/1/18,409,2018
Sarawak,nondomestic,1/1/19,468,2019
Sarawak,nondomestic,1/1/20,448,2020
Sarawak,nondomestic,1/1/21,440,2021
Sarawak,nondomestic,1/1/22,463,2022
Selangor,domestic,1/1/03,1312,2003
Selangor,domestic,1/1/04,1474,2004
Selangor,domestic,1/1/05,1579,2005
Selangor,domestic,1/1/06,1460,2006
Selangor,domestic,1/1/07,1520,2007
Selangor,domestic,1/1/08,1562,2008
Selangor,domestic,1/1/09,1621,2009
Selangor,domestic,1/1/10,1655,2010
Selangor,domestic,1/1/11,1653,2011
Selangor,domestic,1/1/12,1686,2012
Selangor,domestic,1/1/13,1735,2013
Selangor,domestic,1/1/14,1779,2014
Selangor,domestic,1/1/15,1862,2015
Selangor,domestic,1/1/16,1883,2016
Selangor,domestic,1/1/17,1870,2017
Selangor,domestic,1/1/18,1916,2018
Selangor,domestic,1/1/19,2012,2019
Selangor,domestic,1/1/20,2186,2020
Selangor,domestic,1/1/21,2294,2021
Selangor,domestic,1/1/22,2230,2022
Selangor,nondomestic,1/1/03,673,2003
Selangor,nondomestic,1/1/04,694,2004
Selangor,nondomestic,1/1/05,717,2005
Selangor,nondomestic,1/1/06,932,2006
Selangor,nondomestic,1/1/07,969,2007
Selangor,nondomestic,1/1/08,1006,2008
Selangor,nondomestic,1/1/09,1029,2009
Selangor,nondomestic,1/1/10,1090,2010
Selangor,nondomestic,1/1/11,1135,2011
Selangor,nondomestic,1/1/12,1207,2012
Selangor,nondomestic,1/1/13,1254,2013
Selangor,nondomestic,1/1/14,1268,2014
Selangor,nondomestic,1/1/15,1316,2015
Selangor,nondomestic,1/1/16,1336,2016
Selangor,nondomestic,1/1/17,1373,2017
Selangor,nondomestic,1/1/18,1400,2018
Selangor,nondomestic,1/1/19,1459,2019
Selangor,nondomestic,1/1/20,1362,2020
Selangor,nondomestic,1/1/21,1315,2021
Selangor,nondomestic,1/1/22,1350,2022
Terengganu,domestic,1/1/03,156,2003
Terengganu,domestic,1/1/04,162,2004
Terengganu,domestic,1/1/05,172,2005
Terengganu,domestic,1/1/06,185,2006
Terengganu,domestic,1/1/07,187,2007
Terengganu,domestic,1/1/08,190,2008
Terengganu,domestic,1/1/09,198,2009
Terengganu,domestic,1/1/10,206,2010
Terengganu,domestic,1/1/11,208,2011
Terengganu,domestic,1/1/12,216,2012
Terengganu,domestic,1/1/13,230,2013
Terengganu,domestic,1/1/14,241,2014
Terengganu,domestic,1/1/15,246,2015
Terengganu,domestic,1/1/16,264,2016
Terengganu,domestic,1/1/17,256,2017
Terengganu,domestic,1/1/18,255,2018
Terengganu,domestic,1/1/19,266,2019
Terengganu,domestic,1/1/20,286,2020
Terengganu,domestic,1/1/21,302,2021
Terengganu,domestic,1/1/22,286,2022
Terengganu,nondomestic,1/1/03,118,2003
Terengganu,nondomestic,1/1/04,108,2004
Terengganu,nondomestic,1/1/05,105,2005
Terengganu,nondomestic,1/1/06,124,2006
Terengganu,nondomestic,1/1/07,135,2007
Terengganu,nondomestic,1/1/08,149,2008
Terengganu,nondomestic,1/1/09,155,2009
Terengganu,nondomestic,1/1/10,157,2010
Terengganu,nondomestic,1/1/11,163,2011
Terengganu,nondomestic,1/1/12,173,2012
Terengganu,nondomestic,1/1/13,183,2013
Terengganu,nondomestic,1/1/14,179,2014
Terengganu,nondomestic,1/1/15,182,2015
Terengganu,nondomestic,1/1/16,176,2016
Terengganu,nondomestic,1/1/17,171,2017
Terengganu,nondomestic,1/1/18,169,2018
Terengganu,nondomestic,1/1/19,176,2019
Terengganu,nondomestic,1/1/20,165,2020
Terengganu,nondomestic,1/1/21,161,2021
Terengganu,nondomestic,1/1/22,173,2022
W.P. Labuan,domestic,1/1/03,16,2003
W.P. Labuan,domestic,1/1/04,16,2004
W.P. Labuan,domestic,1/1/05,18,2005
W.P. Labuan,domestic,1/1/06,17,2006
W.P. Labuan,domestic,1/1/07,18,2007
W.P. Labuan,domestic,1/1/08,19,2008
W.P. Labuan,domestic,1/1/09,18,2009
W.P. Labuan,domestic,1/1/10,19,2010
W.P. Labuan,domestic,1/1/11,21,2011
W.P. Labuan,domestic,1/1/12,16,2012
W.P. Labuan,domestic,1/1/13,16,2013
W.P. Labuan,domestic,1/1/14,17,2014
W.P. Labuan,domestic,1/1/15,17,2015
W.P. Labuan,domestic,1/1/16,17,2016
W.P. Labuan,domestic,1/1/17,17,2017
W.P. Labuan,domestic,1/1/18,18,2018
W.P. Labuan,domestic,1/1/19,18,2019
W.P. Labuan,domestic,1/1/20,17,2020
W.P. Labuan,domestic,1/1/21,20,2021
W.P. Labuan,domestic,1/1/22,19,2022
W.P. Labuan,nondomestic,1/1/03,9,2003
W.P. Labuan,nondomestic,1/1/04,10,2004
W.P. Labuan,nondomestic,1/1/05,10,2005
W.P. Labuan,nondomestic,1/1/06,10,2006
W.P. Labuan,nondomestic,1/1/07,11,2007
W.P. Labuan,nondomestic,1/1/08,12,2008
W.P. Labuan,nondomestic,1/1/09,18,2009
W.P. Labuan,nondomestic,1/1/10,18,2010
W.P. Labuan,nondomestic,1/1/11,20,2011
W.P. Labuan,nondomestic,1/1/12,30,2012
W.P. Labuan,nondomestic,1/1/13,31,2013
W.P. Labuan,nondomestic,1/1/14,31,2014
W.P. Labuan,nondomestic,1/1/15,32,2015
W.P. Labuan,nondomestic,1/1/16,33,2016
W.P. Labuan,nondomestic,1/1/17,31,2017
W.P. Labuan,nondomestic,1/1/18,33,2018
W.P. Labuan,nondomestic,1/1/19,36,2019
W.P. Labuan,nondomestic,1/1/20,40,2020
W.P. Labuan,nondomestic,1/1/21,32,2021
W.P. Labuan,nondomestic,1/1/22,33,2022
Kuala Lumpur,domestic,1/1/03,1312,2003
Kuala Lumpur,domestic,1/1/04,1474,2004
Kuala Lumpur,domestic,1/1/05,1579,2005
Kuala Lumpur,domestic,1/1/06,1460,2006
Kuala Lumpur,domestic,1/1/07,1520,2007
Kuala Lumpur,domestic,1/1/08,1562,2008
Kuala Lumpur,domestic,1/1/09,1621,2009
Kuala Lumpur,domestic,1/1/10,1655,2010
Kuala Lumpur,domestic,1/1/11,1653,2011
Kuala Lumpur,domestic,1/1/12,1686,2012
Kuala Lumpur,domestic,1/1/13,1735,2013
Kuala Lumpur,domestic,1/1/14,1779,2014
Kuala Lumpur,domestic,1/1/15,1862,2015
Kuala Lumpur,domestic,1/1/16,1883,2016
Kuala Lumpur,domestic,1/1/17,1870,2017
Kuala Lumpur,domestic,1/1/18,1916,2018
Kuala Lumpur,domestic,1/1/19,2012,2019
Kuala Lumpur,domestic,1/1/20,2186,2020
Kuala Lumpur,domestic,1/1/21,2294,2021
Kuala Lumpur,domestic,1/1/22,2230,2022
Kuala Lumpur,nondomestic,1/1/03,673,2003
Kuala Lumpur,nondomestic,1/1/04,694,2004
Kuala Lumpur,nondomestic,1/1/05,717,2005
Kuala Lumpur,nondomestic,1/1/06,932,2006
Kuala Lumpur,nondomestic,1/1/07,969,2007
Kuala Lumpur,nondomestic,1/1/08,1006,2008
Kuala Lumpur,nondomestic,1/1/09,1029,2009
Kuala Lumpur,nondomestic,1/1/10,1090,2010
Kuala Lumpur,nondomestic,1/1/11,1135,2011
Kuala Lumpur,nondomestic,1/1/12,1207,2012
Kuala Lumpur,nondomestic,1/1/13,1254,2013
Kuala Lumpur,nondomestic,1/1/14,1268,2014
Kuala Lumpur,nondomestic,1/1/15,1316,2015
Kuala Lumpur,nondomestic,1/1/16,1336,2016
Kuala Lumpur,nondomestic,1/1/17,1373,2017
Kuala Lumpur,nondomestic,1/1/18,1400,2018
Kuala Lumpur,nondomestic,1/1/19,1459,2019
Kuala Lumpur,nondomestic,1/1/20,1362,2020
Kuala Lumpur,nondomestic,1/1/21,1315,2021
Kuala Lumpur,nondomestic,1/1/22,1350,2022
W.P. Putrajaya ,domestic,1/1/03,1312,2003
W.P. Putrajaya ,domestic,1/1/04,1474,2004
W.P. Putrajaya ,domestic,1/1/05,1579,2005
W.P. Putrajaya ,domestic,1/1/06,1460,2006
W.P. Putrajaya ,domestic,1/1/07,1520,2007
W.P. Putrajaya ,domestic,1/1/08,1562,2008
W.P. Putrajaya ,domestic,1/1/09,1621,2009
W.P. Putrajaya ,domestic,1/1/10,1655,2010
W.P. Putrajaya ,domestic,1/1/11,1653,2011
W.P. Putrajaya ,domestic,1/1/12,1686,2012
W.P. Putrajaya ,domestic,1/1/13,1735,2013
W.P. Putrajaya ,domestic,1/1/14,1779,2014
W.P. Putrajaya ,domestic,1/1/15,1862,2015
W.P. Putrajaya ,domestic,1/1/16,1883,2016
W.P. Putrajaya ,domestic,1/1/17,1870,2017
W.P. Putrajaya ,domestic,1/1/18,1916,2018
W.P. Putrajaya ,domestic,1/1/19,2012,2019
W.P. Putrajaya ,domestic,1/1/20,2186,2020
W.P. Putrajaya ,domestic,1/1/21,2294,2021
